invno,invdate,amount,tbl_customer_idtbl_customer,customer,,,,,,,,,
4409,2/28/2023,79830,9,DISANAYAKE ELECTRICALS,,,,,,,,,
4746,6/20/2023,43038,377,M/S.RIZNA HARDWARE,,,,,,,,,
4468,3/21/2023,17475,9,DISANAYAKE ELECTRICALS,,,,,,,,,
4542,4/7/2023,104835,9,DISANAYAKE ELECTRICALS,,,,,,,,,
4546,4/10/2023,2722.5,9,DISANAYAKE ELECTRICALS,,,,,,,,,
4899,7/20/2023,90213,377,M/S.RIZNA HARDWARE,,,,,,,,,
4957,7/31/2023,37530,9,DISANAYAKE ELECTRICALS,,,,,,,,,
5044,8/17/2023,53925,9,DISANAYAKE ELECTRICALS,,,,,,,,,
5151,9/7/2023,40275,388,AMBATHENNA GLASS & ELECTRICALS,,,,,,,,,
5685,12/22/2023,240000,388,AMBATHENNA GLASS & ELECTRICALS,,,,,,,,,
5392,10/19/2023,54210,9,DISANAYAKE ELECTRICALS,,,,,,,,,
5332,10/9/2023,99693,377,M/S.RIZNA HARDWARE,,,,,,,,,
5494,11/8/2023,27000,9,DISANAYAKE ELECTRICALS,,,,,,,,,
5517,11/15/2023,78892.5,9,DISANAYAKE ELECTRICALS,,,,,,,,,
4558,4/21/2023,14602.5,30,NEW MALMADU ELECTRICALS,,,,,,,,,
5135,9/5/2023,69615,30,NEW MALMADU ELECTRICALS,,,,,,,,,
4443,3/14/2023,280950,286,NEW LIGHT ELECTRICALS,,,,,,,,,
5136,9/5/2023,41415,30,NEW MALMADU ELECTRICALS,,,,,,,,,
5455,10/31/2023,111693,377,M/S.RIZNA HARDWARE,,,,,,,,,
4451,3/17/2023,108000,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4495,3/28/2023,67875,286,NEW LIGHT ELECTRICALS,,,,,,,,,
5485,11/6/2023,21570,35,P.P.S TRADING COMPANY,,,,,,,,,
4530,4/6/2023,139365,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4541,4/7/2023,343725,55,VALUE VISION ,,,,,,,,,
4595,5/4/2023,87375,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4600,5/8/2023,20700,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4578,4/27/2023,31387.5,55,VALUE VISION ,,,,,,,,,
4615,5/15/2023,23850,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4679,6/2/2023,945615,55,VALUE VISION ,,,,,,,,,
4635,5/19/2023,80250,286,NEW LIGHT ELECTRICALS,,,,,,,,,
5200,9/18/2023,61507.5,55,VALUE VISION ,,,,,,,,,
4660,5/30/2023,143400,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4521,3/31/2023,154717.5,25,LIYANAGE HARDWARE ,,,,,,,,,
4697,6/7/2023,86250,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4715,6/13/2023,140775,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4684,6/5/2023,112020,25,LIYANAGE HARDWARE ,,,,,,,,,
4843,7/10/2023,103050,286,NEW LIGHT ELECTRICALS,,,,,,,,,
4685,6/5/2023,24000,25,LIYANAGE HARDWARE ,,,,,,,,,
